City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Yerbogachen,61.2767,108.0108,34.12,59,20,8.01,RU,2022-10-15 05:54:41
1,Bethel,41.3712,-73.414,50.94,88,15,3.87,US,2022-10-15 05:54:42
2,Avera,33.194,-82.5271,49.51,47,0,3.83,US,2022-10-15 05:54:42
3,Rikitea,-23.1203,-134.9692,72.54,82,1,8.95,PF,2022-10-15 05:49:59
4,Hamina,60.5697,27.1979,49.28,89,99,13.15,FI,2022-10-15 05:54:43
5,Ushuaia,-54.8,-68.3,46.06,81,100,20.71,AR,2022-10-15 05:54:43
6,Punta Arenas,-53.15,-70.9167,46.51,87,75,13.8,CL,2022-10-15 05:54:43
7,Meulaboh,4.1363,96.1285,81.86,75,78,3.6,ID,2022-10-15 05:54:44
8,Mataura,-46.1927,168.8643,56.48,59,5,1.1,NZ,2022-10-15 05:54:44
9,Qaanaaq,77.484,-69.3632,16.95,86,100,11.61,GL,2022-10-15 05:54:44
10,Ketchikan,55.3422,-131.6461,58.98,100,100,13.8,US,2022-10-15 05:54:45
11,Tuatapere,-46.1333,167.6833,59.56,60,21,0.25,NZ,2022-10-15 05:54:45
12,Trujillo,-8.116,-79.03,58.96,88,20,6.91,PE,2022-10-15 05:54:45
13,Hobart,-42.8794,147.3294,56.91,62,75,16.11,AU,2022-10-15 05:54:46
14,Bredasdorp,-34.5322,20.0403,58.5,90,100,15.12,ZA,2022-10-15 05:54:46
15,Caravelas,-17.7125,-39.2481,71.42,89,8,5.35,BR,2022-10-15 05:54:46
16,Barabash,43.2,131.4833,65.82,50,0,6.58,RU,2022-10-15 05:54:46
17,Baykit,61.67,96.37,36.79,62,94,5.1,RU,2022-10-15 05:54:47
18,Albany,42.6001,-73.9662,42.53,89,0,1.99,US,2022-10-15 05:54:47
19,Iqaluit,63.7506,-68.5145,29.93,100,100,16.11,CA,2022-10-15 05:54:48
20,Vardo,70.3705,31.1107,39.18,93,100,4.61,NO,2022-10-15 05:54:48
21,Avarua,-21.2078,-159.775,73.45,88,4,4.61,CK,2022-10-15 05:54:33
22,Vazante,-17.9869,-46.9078,70.21,43,75,1.79,BR,2022-10-15 05:54:49
23,Ballina,-28.8667,153.5667,72.01,72,36,9.44,AU,2022-10-15 05:53:05
24,Sinnamary,5.3833,-52.95,78.12,89,36,8.3,GF,2022-10-15 05:54:50
25,Butaritari,3.0707,172.7902,81.82,74,89,15.19,KI,2022-10-15 05:54:51
26,Halifax,44.6453,-63.5724,60.69,94,100,11.5,CA,2022-10-15 05:53:15
27,Luderitz,-26.6481,15.1594,66.94,57,54,18.39,NA,2022-10-15 05:54:51
28,Payo,-3.7508,103.6372,88.41,63,94,0.94,ID,2022-10-15 05:54:52
29,Casatenovo,45.6964,9.3117,58.26,93,77,1.99,IT,2022-10-15 05:54:53
30,Bubaque,11.2833,-15.8333,81.41,76,71,10.96,GW,2022-10-15 05:54:54
31,Narsaq,60.9167,-46.05,24.28,64,69,5.66,GL,2022-10-15 05:54:54
32,Gamboma,-1.8764,15.8644,72.54,93,100,2.95,CG,2022-10-15 05:54:55
33,Neuquen,-38.9516,-68.0591,55.29,33,0,9.22,AR,2022-10-15 05:52:21
34,Nikolskoye,59.7035,30.7861,45.79,88,94,6.4,RU,2022-10-15 05:54:55
35,Tottori,35.5,134.2333,71.67,73,20,5.75,JP,2022-10-15 05:50:08
36,Itarema,-2.9248,-39.9167,77.85,79,55,16.87,BR,2022-10-15 05:54:56
37,Kasama,-10.2129,31.1808,74.08,26,27,7.9,ZM,2022-10-15 05:54:56
38,Atuona,-9.8,-139.0333,76.96,79,17,18.28,PF,2022-10-15 05:54:57
39,Maceio,-9.6658,-35.7353,71.04,94,40,4.61,BR,2022-10-15 05:54:57
40,Riverton,40.5219,-111.9391,61.3,41,0,3.0,US,2022-10-15 05:54:57
41,Saint George,37.1041,-113.5841,73.99,20,0,3.44,US,2022-10-15 05:54:09
42,Provideniya,64.3833,-173.3,27.36,88,80,9.15,RU,2022-10-15 05:55:58
43,Atambua,-9.1061,124.8925,85.98,56,86,1.83,ID,2022-10-15 05:55:58
44,Ponta Do Sol,32.6667,-17.1,70.43,69,65,4.25,PT,2022-10-15 05:55:58
45,High Level,58.5169,-117.136,26.71,80,0,6.91,CA,2022-10-15 05:55:59
46,Biloela,-24.4167,150.5,87.73,29,5,11.95,AU,2022-10-15 05:55:59
47,Zhukovka,53.534,33.728,35.87,74,37,5.17,RU,2022-10-15 05:56:00
48,Sechura,-5.5569,-80.8222,60.73,84,3,8.61,PE,2022-10-15 05:56:00
49,Kununurra,-15.7667,128.7333,102.18,29,75,9.22,AU,2022-10-15 05:51:26
50,Kochevo,59.5994,54.3125,42.89,91,100,6.42,RU,2022-10-15 05:56:01
51,Vaini,-21.2,-175.2,80.76,74,40,11.5,TO,2022-10-15 05:56:01
52,Mahebourg,-20.4081,57.7,74.25,73,75,8.05,MU,2022-10-15 05:56:02
53,Faanui,-16.4833,-151.75,79.2,76,9,14.83,PF,2022-10-15 05:56:02
54,Lavrentiya,65.5833,-171.0,27.7,81,68,7.99,RU,2022-10-15 05:56:02
55,Te Anau,-45.4167,167.7167,57.31,65,39,5.08,NZ,2022-10-15 05:54:38
56,Visby,57.6409,18.296,52.02,93,75,10.36,SE,2022-10-15 05:56:03
57,East London,-33.0153,27.9116,63.54,94,75,6.91,ZA,2022-10-15 05:55:30
58,Aswan,24.0934,32.907,72.7,35,0,6.91,EG,2022-10-15 05:56:04
59,Cidreira,-30.1811,-50.2056,61.3,73,96,17.6,BR,2022-10-15 05:56:04
60,Basco,20.4487,121.9702,80.08,86,100,28.81,PH,2022-10-15 05:56:04
61,Asau,46.4333,26.4,45.52,88,97,2.19,RO,2022-10-15 05:56:05
62,Westport,41.1415,-73.3579,54.23,82,0,3.0,US,2022-10-15 05:51:58
63,Hamilton,39.1834,-84.5333,60.89,41,84,3.0,US,2022-10-15 05:53:28
64,Esperance,-33.8667,121.9,63.1,63,0,11.45,AU,2022-10-15 05:56:06
65,Isangel,-19.55,169.2667,78.91,69,40,9.22,VU,2022-10-15 05:56:06
66,Umm Lajj,25.0213,37.2685,83.75,42,0,4.45,SA,2022-10-15 05:56:07
67,Namibe,-15.1961,12.1522,66.36,85,63,4.21,AO,2022-10-15 05:56:07
68,Hamadan,34.7992,48.5146,54.48,33,0,0.0,IR,2022-10-15 05:56:08
69,Port Hedland,-20.3167,118.5667,87.85,16,4,14.97,AU,2022-10-15 05:56:08
70,Pevek,69.7008,170.3133,11.98,95,100,8.28,RU,2022-10-15 05:53:56
71,Yellowknife,62.456,-114.3525,30.72,59,75,13.8,CA,2022-10-15 05:56:09
72,Tuktoyaktuk,69.4541,-133.0374,28.4,86,100,21.85,CA,2022-10-15 05:56:09
73,Rawson,-43.3002,-65.1023,60.82,26,19,22.88,AR,2022-10-15 05:56:09
74,Puerto Ayora,-0.7393,-90.3518,65.55,96,85,8.99,EC,2022-10-15 05:56:10
75,Villahermosa,17.9833,-92.9167,75.02,94,100,9.51,MX,2022-10-15 05:55:39
76,Chuy,-33.6971,-53.4616,52.23,76,56,7.63,UY,2022-10-15 05:53:57
77,Victor Harbor,-35.5667,138.6167,63.68,70,98,1.01,AU,2022-10-15 05:56:10
78,Krasnoturansk,54.3186,91.5639,41.9,50,6,9.6,RU,2022-10-15 05:56:11
79,Cumana,10.4635,-64.1775,77.32,85,1,8.21,VE,2022-10-15 05:56:11
80,Zemio,5.0314,25.1361,71.67,93,100,1.32,CF,2022-10-15 05:56:11
81,Sainte-Suzanne,-20.9061,55.6089,77.22,75,75,12.66,RE,2022-10-15 05:56:12
82,Nyurba,63.2842,118.3319,29.82,74,98,5.57,RU,2022-10-15 05:56:12
83,Kapaa,22.0752,-159.319,80.58,85,91,1.01,US,2022-10-15 05:56:13
84,Vostok,46.4856,135.8833,55.78,58,40,5.82,RU,2022-10-15 05:56:13
85,Northam,51.0333,-4.2167,51.62,94,36,21.54,GB,2022-10-15 05:56:13
86,Caraballeda,10.6112,-66.8522,79.86,87,40,1.14,VE,2022-10-15 05:56:14
87,Coahuayana,18.7333,-103.6833,77.65,94,99,2.08,MX,2022-10-15 05:56:14
88,Padang,-0.9492,100.3543,80.65,76,100,4.09,ID,2022-10-15 05:57:15
89,Kitgum,3.2783,32.8867,74.64,63,99,4.21,UG,2022-10-15 05:57:15
90,Ojinaga,29.5667,-104.4167,74.35,56,0,8.05,MX,2022-10-15 05:57:16
91,Vila,42.0304,-8.1588,50.88,94,49,3.04,PT,2022-10-15 05:57:16
92,Vestmanna,62.1564,-7.1664,36.52,87,40,0.0,FO,2022-10-15 05:57:16
93,Busselton,-33.65,115.3333,63.34,54,24,11.05,AU,2022-10-15 05:57:17
94,New Norfolk,-42.7826,147.0587,56.57,54,86,4.0,AU,2022-10-15 05:57:17
95,Tura,25.5198,90.2201,82.87,55,0,5.03,IN,2022-10-15 05:53:33
96,Cururupu,-1.8283,-44.8683,76.08,87,73,4.23,BR,2022-10-15 05:57:18
97,Dali,25.7,100.1833,68.07,77,60,3.04,CN,2022-10-15 05:57:18
98,Hermanus,-34.4187,19.2345,57.79,87,100,18.37,ZA,2022-10-15 05:57:18
99,Georgetown,5.4112,100.3354,84.13,85,40,6.91,MY,2022-10-15 05:54:19
100,Florenville,49.6998,5.3074,55.33,99,100,6.11,BE,2022-10-15 05:57:19
101,Tres Picos,15.8667,-93.5333,77.14,86,85,4.76,MX,2022-10-15 05:57:19
102,Tutoia,-2.7619,-42.2744,78.62,83,42,12.37,BR,2022-10-15 05:57:20
103,Wufeng,27.45,104.8333,52.99,67,99,7.38,CN,2022-10-15 05:57:20
104,Saint Anthony,45.0205,-93.218,35.89,93,0,4.61,US,2022-10-15 05:57:21
105,Tucuman,-26.8241,-65.2226,53.6,66,75,6.91,AR,2022-10-15 05:57:21
106,Acari,-15.4311,-74.6158,63.0,72,58,2.55,PE,2022-10-15 05:57:21
107,Saskylakh,71.9167,114.0833,27.79,91,100,14.0,RU,2022-10-15 05:57:22
108,Teguise,29.0605,-13.564,66.42,88,20,5.75,ES,2022-10-15 05:57:22
109,Airai,-8.9266,125.4092,73.18,59,99,3.69,TL,2022-10-15 05:57:23
110,Alofi,-19.0595,-169.9187,78.69,78,26,9.22,NU,2022-10-15 05:57:23
111,West Fargo,46.875,-96.9004,34.02,77,0,6.91,US,2022-10-15 05:57:23
112,Winslow,35.0242,-110.6974,64.85,27,1,6.46,US,2022-10-15 05:57:24
113,Geraldton,-28.7667,114.6,72.01,40,2,17.27,AU,2022-10-15 05:55:16
114,Hattiesburg,31.3271,-89.2903,62.22,87,0,4.0,US,2022-10-15 05:57:25
115,Reyes,-14.3167,-67.3833,66.63,96,99,2.33,BO,2022-10-15 05:57:25
116,Bluff,-46.6,168.3333,56.8,72,1,10.16,NZ,2022-10-15 05:57:26
