City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel name,Hotel Name
0,Hithadhoo,MV,80.85,overcast clouds,-0.6,73.0833,,Scoop Guest House
2,Saint-Philippe,RE,65.79,scattered clouds,-21.3585,55.7679,,Le four à pain
3,Port Alfred,ZA,61.18,scattered clouds,-33.5906,26.891,,The Halyards Hotel & Spa
5,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,,Pousada Camboinha
7,Vila Franca Do Campo,PT,61.21,light rain,37.7167,-25.4333,,Pestana Bahia Praia
13,Cape Town,ZA,64.9,broken clouds,-33.9258,18.4232,,"Radisson Blu Hotel Waterfront, Cape Town"
15,Shingu,JP,65.3,overcast clouds,33.7333,135.9833,,Shingu UI Hotel
18,Turan,VN,80.58,broken clouds,16.0678,108.2208,,Grand Mercure Danang
19,Rikitea,PF,68.67,scattered clouds,-23.1203,-134.9692,,People ThankYou
20,Port Lincoln,AU,60.08,overcast clouds,-34.7333,135.8667,,Port Lincoln Hotel
22,Ambulu,ID,76.19,overcast clouds,-8.345,113.6058,,Hotel Ambulu Jember
25,Kumluca,TR,73.83,overcast clouds,36.3703,30.2869,,Akkol Apart
26,Castro,BR,61.32,overcast clouds,-24.7911,-50.0119,,CHACARA BAILLY
27,East London,ZA,66.67,clear sky,-33.0153,27.9116,,Tu Casa
28,Rosario,AR,68.95,clear sky,-32.9468,-60.6393,,"Holiday Inn Rosario, an IHG Hotel"
29,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,,Atlantis Hotel
31,Semnan,IR,66.58,broken clouds,35.5729,53.3971,,Semnan Tourist Hotel
32,Banff,CA,70.83,clear sky,51.1762,-115.5698,,Banff Aspen Lodge
34,Lompoc,US,83.01,clear sky,34.6391,-120.4579,,"Holiday Inn Express Lompoc, an IHG Hotel"
37,Prudentopolis,BR,65.68,overcast clouds,-25.2131,-50.9778,,Mayná Hotel Prudentópolis
38,Crotone,IT,64.18,clear sky,39.0851,17.1178,,Helios Hotel
40,Black River,JM,80.78,scattered clouds,18.0264,-77.8487,,Idlers' Rest Beach Hotel
41,Kavaratti,IN,78.75,overcast clouds,10.5669,72.642,,Green leaf
46,Puerto Ayora,EC,67.55,broken clouds,-0.7393,-90.3518,,Finch Bay Galapagos Hotel
47,Port Elizabeth,ZA,62.31,broken clouds,-33.918,25.5701,,39 On Nile Guest House
49,Cockburn Town,TC,81.61,clear sky,21.4612,-71.1419,,Osprey Beach Hotel
52,Zeerust,ZA,65.19,overcast clouds,-25.5369,26.0751,,Kareespruit Game Ranch and Guest House
53,Carauari,BR,73.44,very heavy rain,-4.8828,-66.8958,,Hotel Fellip
55,Vao,NC,73.2,overcast clouds,-22.6667,167.4833,,Hotel Kou-Bugny
56,Manzanillo,CU,79.7,scattered clouds,20.3433,-77.1167,,"HOSTAL ""THE YELLOW HOUSE"""
57,Butaritari,KI,81.79,light rain,3.0707,172.7902,,Isles Sunset Lodge
58,Saint George,US,83.25,clear sky,37.1041,-113.5841,,Best Western Plus Abbey Inn
60,Namatanai,PG,83.05,light rain,-3.6667,152.4333,,Seagulls Inn Namatani
61,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,,Hotel Vitória Palace
64,Caravelas,BR,74.98,few clouds,-17.7125,-39.2481,,Pousada dos Navegantes
65,Karratha,AU,74.64,clear sky,-20.7377,116.8463,,ibis Styles Karratha
69,Hervey Bay,AU,71.02,broken clouds,-25.2986,152.8535,,Shelly Bay Resort
73,Aquiraz,BR,80.69,overcast clouds,-3.9014,-38.3911,,Pousada Rua Camurupim
74,Victoria,HK,73.45,overcast clouds,22.2855,114.1577,,Mini Central
75,Gouyave,GD,79.57,few clouds,12.1646,-61.7296,,Rumboat Retreat
76,Ponta Delgada,PT,61.52,few clouds,37.7333,-25.6667,,Vila Nova Hotel
78,Terrace,CA,62.71,overcast clouds,54.5163,-128.6035,,Northern Motor Inn
79,Trinidad,BO,80.58,scattered clouds,-14.8333,-64.9,,Hotel Piesta
80,Diplo,PK,80.28,clear sky,24.4667,69.584,,Mukhi Ahmed Ali Residency
84,Fort Smith,US,60.84,clear sky,35.3859,-94.3986,,Hampton Inn Fort Smith
87,Cidreira,BR,64.33,overcast clouds,-30.1811,-50.2056,,Hotel Castelo
89,Bac Lieu,VN,75.94,overcast clouds,9.285,105.7244,,Khách sạn Sài Gòn Bạc Liêu
90,San Juan,AR,65.86,broken clouds,-31.5375,-68.5364,,Hotel Provincial
