City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Bredasdorp,ZA,-34.5322,20.0403,61.63,91,60,6.15,broken clouds,2022-10-24 03:47:07
1,Bambanglipuro,ID,-7.95,110.2833,84.58,68,99,8.52,overcast clouds,2022-10-24 03:47:07
2,Ostrovnoy,RU,68.0531,39.5131,38.37,64,100,25.01,light rain,2022-10-24 03:42:37
3,Vao,NC,-22.6667,167.4833,72.66,75,100,21.74,overcast clouds,2022-10-24 03:44:59
4,New Norfolk,AU,-42.7826,147.0587,56.91,73,99,1.99,overcast clouds,2022-10-24 03:47:08
5,Atuona,PF,-9.8,-139.0333,77.04,75,3,17.45,clear sky,2022-10-24 03:47:08
6,East London,ZA,-33.0153,27.9116,65.34,94,40,3.44,scattered clouds,2022-10-24 03:47:09
7,Prince Rupert,CA,54.3161,-130.3201,50.09,84,100,37.98,light rain,2022-10-24 03:47:09
8,Castro,BR,-24.7911,-50.0119,58.01,85,25,1.74,scattered clouds,2022-10-24 03:47:09
9,Cape Town,ZA,-33.9258,18.4232,62.28,83,0,11.5,clear sky,2022-10-24 03:46:41
10,Rocha,UY,-34.4833,-54.3333,51.73,97,19,3.85,few clouds,2022-10-24 03:46:03
11,Punta Arenas,CL,-53.15,-70.9167,44.71,70,0,16.11,clear sky,2022-10-24 03:43:21
12,Hermanus,ZA,-34.4187,19.2345,61.81,84,58,10.07,broken clouds,2022-10-24 03:47:11
13,Albany,US,42.6001,-73.9662,53.46,84,100,0.36,overcast clouds,2022-10-24 03:45:25
14,Carnarvon,AU,-24.8667,113.6333,71.02,58,24,16.75,few clouds,2022-10-24 03:47:11
15,Hasaki,JP,35.7333,140.8333,56.21,71,100,21.79,overcast clouds,2022-10-24 03:47:12
16,Puerto Ayora,EC,-0.7393,-90.3518,67.55,87,82,5.01,broken clouds,2022-10-24 03:47:12
17,Butaritari,KI,3.0707,172.7902,81.52,76,21,10.42,few clouds,2022-10-24 03:47:12
18,Jacqueville,CI,5.2052,-4.4146,78.58,82,93,5.68,light rain,2022-10-24 03:47:13
